cvegeo,cve_ent,nom_ent,nom_mun
01001,01,Aguascalientes,Aguascalientes
01002,01,Aguascalientes,Asientos
01003,01,Aguascalientes,Calvillo
01004,01,Aguascalientes,Cosío
01005,01,Aguascalientes,Jesús María
01006,01,Aguascalientes,Pabellón de Arteaga
01007,01,Aguascalientes,Rincón de Romos
01008,01,Aguascalientes,San José de Gracia
01009,01,Aguascalientes,Tepezalá
01010,01,Aguascalientes,El Llano
01011,01,Aguascalientes,San Francisco de los Romo
02001,02,Baja California,Ensenada
02002,02,Baja California,Mexicali
02003,02,Baja California,Tecate
02004,02,Baja California,Tijuana
02005,02,Baja California,Playas de Rosarito
02006,02,Baja California,San Quintín
02007,02,Baja California,San Felipe
03001,03,Baja California Sur,Comondú
03002,03,Baja California Sur,Mulegé
03003,03,Baja California Sur,La Paz
03008,03,Baja California Sur,Los Cabos
03009,03,Baja California Sur,Loreto
04001,04,Campeche,Calkiní
04002,04,Campeche,Campeche
04003,04,Campeche,Carmen
04004,04,Campeche,Champotón
04005,04,Campeche,Hecelchakán
04006,04,Campeche,Hopelchén
04007,04,Campeche,Palizada
04008,04,Campeche,Tenabo
04009,04,Campeche,Escárcega
04010,04,Campeche,Calakmul
04011,04,Campeche,Candelaria
04012,04,Campeche,Seybaplaya
04013,04,Campeche,Dzitbalché
05001,05,Coahuila,Abasolo
05002,05,Coahuila,Acuña
05003,05,Coahuila,Allende
05004,05,Coahuila,Arteaga
05005,05,Coahuila,Candela
05006,05,Coahuila,Castaños
05007,05,Coahuila,Cuatro Ciénegas
05008,05,Coahuila,Escobedo
05009,05,Coahuila,Francisco I. Madero
05010,05,Coahuila,Frontera
05011,05,Coahuila,General Cepeda
05012,05,Coahuila,Guerrero
05013,05,Coahuila,Hidalgo
05014,05,Coahuila,Jiménez
05015,05,Coahuila,Juárez
05016,05,Coahuila,Lamadrid
05017,05,Coahuila,Matamoros
05018,05,Coahuila,Monclova
05019,05,Coahuila,Morelos
05020,05,Coahuila,Múzquiz
05021,05,Coahuila,Nadadores
05022,05,Coahuila,Nava
05023,05,Coahuila,Ocampo
05024,05,Coahuila,Parras
05025,05,Coahuila,Piedras Negras
05026,05,Coahuila,Progreso
05027,05,Coahuila,Ramos Arizpe
05028,05,Coahuila,Sabinas
05029,05,Coahuila,Sacramento
05030,05,Coahuila,Saltillo
05031,05,Coahuila,San Buenaventura
05032,05,Coahuila,San Juan de Sabinas
05033,05,Coahuila,San Pedro
05034,05,Coahuila,Sierra Mojada
05035,05,Coahuila,Torreón
05036,05,Coahuila,Viesca
05037,05,Coahuila,Villa Unión
05038,05,Coahuila,Zaragoza
06001,06,Colima,Armería
06002,06,Colima,Colima
06003,06,Colima,Comala
06004,06,Colima,Coquimatlán
06005,06,Colima,Cuauhtémoc
06006,06,Colima,Ixtlahuacán
06007,06,Colima,Manzanillo
06008,06,Colima,Minatitlán
06009,06,Colima,Tecomán
06010,06,Colima,Villa de Álvarez
07001,07,Chiapas,Acacoyagua
07002,07,Chiapas,Acala
07003,07,Chiapas,Acapetahua
07004,07,Chiapas,Altamirano
07005,07,Chiapas,Amatán
07006,07,Chiapas,Amatenango de la Frontera
07007,07,Chiapas,Amatenango del Valle
07008,07,Chiapas,Angel Albino Corzo
07009,07,Chiapas,Arriaga
07010,07,Chiapas,Bejucal de Ocampo
07011,07,Chiapas,Bella Vista
07012,07,Chiapas,Berriozábal
07013,07,Chiapas,Bochil
07014,07,Chiapas,El Bosque
07015,07,Chiapas,Cacahoatán
07016,07,Chiapas,Catazajá
07017,07,Chiapas,Cintalapa
07018,07,Chiapas,Coapilla
07019,07,Chiapas,Comitán de Domínguez
07020,07,Chiapas,La Concordia
07021,07,Chiapas,Copainalá
07022,07,Chiapas,Chalchihuitán
07023,07,Chiapas,Chamula
07024,07,Chiapas,Chanal
07025,07,Chiapas,Chapultenango
07026,07,Chiapas,Chenalhó
07027,07,Chiapas,Chiapa de Corzo
07028,07,Chiapas,Chiapilla
07029,07,Chiapas,Chicoasén
07030,07,Chiapas,Chicomuselo
07031,07,Chiapas,Chilón
07032,07,Chiapas,Escuintla
07033,07,Chiapas,Francisco León
07034,07,Chiapas,Frontera Comalapa
07035,07,Chiapas,Frontera Hidalgo
07036,07,Chiapas,La Grandeza
07037,07,Chiapas,Huehuetán
07038,07,Chiapas,Huixtán
07039,07,Chiapas,Huitiupán
07040,07,Chiapas,Huixtla
07041,07,Chiapas,La Independencia
07042,07,Chiapas,Ixhuatán
07043,07,Chiapas,Ixtacomitán
07044,07,Chiapas,Ixtapa
07045,07,Chiapas,Ixtapangajoya
07046,07,Chiapas,Jiquipilas
07047,07,Chiapas,Jitotol
07048,07,Chiapas,Juárez
07049,07,Chiapas,Larráinzar
07050,07,Chiapas,La Libertad
07051,07,Chiapas,Mapastepec
07052,07,Chiapas,Las Margaritas
07053,07,Chiapas,Mazapa de Madero
07054,07,Chiapas,Mazatán
07055,07,Chiapas,Metapa
07056,07,Chiapas,Mitontic
07057,07,Chiapas,Motozintla
07058,07,Chiapas,Nicolás Ruíz
07059,07,Chiapas,Ocosingo
07060,07,Chiapas,Ocotepec
07061,07,Chiapas,Ocozocoautla de Espinosa
07062,07,Chiapas,Ostuacán
07063,07,Chiapas,Osumacinta
07064,07,Chiapas,Oxchuc
07065,07,Chiapas,Palenque
07066,07,Chiapas,Pantelhó
07067,07,Chiapas,Pantepec
07068,07,Chiapas,Pichucalco
07069,07,Chiapas,Pijijiapan
07070,07,Chiapas,El Porvenir
07071,07,Chiapas,Villa Comaltitlán
07072,07,Chiapas,Pueblo Nuevo Solistahuacán
07073,07,Chiapas,Rayón
07074,07,Chiapas,Reforma
07075,07,Chiapas,Las Rosas
07076,07,Chiapas,Sabanilla
07077,07,Chiapas,Salto de Agua
07078,07,Chiapas,San Cristóbal de las Casas
07079,07,Chiapas,San Fernando
07080,07,Chiapas,Siltepec
07081,07,Chiapas,Simojovel
07082,07,Chiapas,Sitalá
07083,07,Chiapas,Socoltenango
07084,07,Chiapas,Solosuchiapa
07085,07,Chiapas,Soyaló
07086,07,Chiapas,Suchiapa
07087,07,Chiapas,Suchiate
07088,07,Chiapas,Sunuapa
07089,07,Chiapas,Tapachula
07090,07,Chiapas,Tapalapa
07091,07,Chiapas,Tapilula
07092,07,Chiapas,Tecpatán
07093,07,Chiapas,Tenejapa
07094,07,Chiapas,Teopisca
07096,07,Chiapas,Tila
