no,indicador,cve_ent,year,valor
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,1990,5.7268
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,1990,14.98522
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,1990,3.64942
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,04,1990,14.71245
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,05,1990,8.91174
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,06,1990,17.59293
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,07,1990,8.18548
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,08,1990,12.05559
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,09,1990,14.99022
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,10,1990,20.59263
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,11,1990,8.7253
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,12,1990,28.09678
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,13,1990,10.34282
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,14,1990,14.91049
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,15,1990,33.63846
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,16,1990,31.38777
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,17,1990,30.52754
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,18,1990,28.45297
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,19,1990,2.2441
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,20,1990,38.40679
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,21,1990,12.15106
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,22,1990,7.44646
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,23,1990,11.04159
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,24,1990,11.23832
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,25,1990,19.5938
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,26,1990,8.80216
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,27,1990,8.50066
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,28,1990,11.42023
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,29,1990,5.91109
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,30,1990,12.06233
