Clave de metrópoli,Tipo de metrópoli,Nombre de la metrópoli,Clave de municipio,Municipio,ODS,Nombre del ODS,Clave de indicador,Indicador,Año,Valor,Ponderador
01.1.01,Zona metropolitana,Aguascalientes,01001,Aguascalientes,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,151.910114488053,NA
01.1.01,Zona metropolitana,Aguascalientes,01011,San Francisco de los Romo,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,184.583065731507,NA
01.1.01,Zona metropolitana,Aguascalientes,01005,Jesús María,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,134.43776581964,NA
02.1.01,Zona metropolitana,Tijuana,02005,Playas de Rosarito,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,96.0924660759879,NA
02.1.01,Zona metropolitana,Tijuana,02004,Tijuana,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,135.512682722491,NA
02.2.02,Metrópoli municipal,Ensenada,02001,Ensenada,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,88.5807770084367,NA
02.2.03,Metrópoli municipal,Mexicali,02002,Mexicali,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,160.106357397513,NA
03.2.01,Metrópoli municipal,La Paz,03003,La Paz,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,176.172875134141,NA
04.2.01,Metrópoli municipal,Campeche,04002,Campeche,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,79.2463054395863,NA
05.1.01,Zona metropolitana,La Laguna,10012,Lerdo,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,38.3802339483559,NA
05.1.01,Zona metropolitana,La Laguna,05017,Matamoros,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,41.6912795788206,NA
05.1.01,Zona metropolitana,La Laguna,05035,Torreón,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,213.366613300104,NA
05.1.01,Zona metropolitana,La Laguna,10007,Gómez Palacio,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,238.701594874779,NA
05.1.02,Zona metropolitana,Monclova-Frontera,05010,Frontera,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,193.854171314095,NA
05.1.02,Zona metropolitana,Monclova-Frontera,05031,San Buenaventura,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,29.5054198103028,NA
05.1.02,Zona metropolitana,Monclova-Frontera,05006,Castaños,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,86.6215005572749,NA
05.1.02,Zona metropolitana,Monclova-Frontera,05018,Monclova,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,220.115900421092,NA
05.1.03,Zona metropolitana,Piedras Negras,05022,Nava,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,109.29577562106,NA
05.1.03,Zona metropolitana,Piedras Negras,05025,Piedras Negras,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,97.6096979265585,NA
05.1.04,Zona metropolitana,Saltillo,05004,Arteaga,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,212.506049952466,NA
05.1.04,Zona metropolitana,Saltillo,05027,Ramos Arizpe,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,1048.56822305706,NA
